target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.94,0.9651898734177216,0.8615819209039548,0.9391556503198294,0.903,0.9191321499013807,0.89272030651341,0.9030422305158639,0.916,1.0,0.8390804597701149,0.9157173076923077
0.863,0.8487229862475442,0.8780487804878049,0.8629976709976709,0.814,0.8674418604651163,0.7430278884462151,0.8130851135651251,0.814,0.8674418604651163,0.7430278884462151,0.8130851135651251
0.974,1.0,0.9033457249070632,0.9735669942876344,0.295,0.10158730158730159,0.07048458149779736,0.271087140927006,0.452,0.4004237288135593,0.41629955947136565,0.45273395513833753
0.952,0.9455782312925171,1.0,0.9486149906431597,0.298,0.28164196123147095,0.774294670846395,0.2181563919532771,0.319,0.319,1.0,0.15430022744503413
0.96,0.9674418604651163,0.9411764705882353,0.9599375365996486,0.08,0.2831541218637993,0.09887359198998748,0.11754361535582485,0.098,0.30268199233716475,0.09887359198998748,0.12722175832998794
1.0,1.0,1.0,1.0,0.924,0.8891129032258065,0.9545454545454546,0.9241087197816948,0.811,0.856396866840731,0.70995670995671,0.8086287251210329
0.934,0.8111111111111111,0.9358974358974359,0.935563025210084,0.842,1.0,0.4357142857142857,0.8187612625234278,0.59,0.3163841807909605,0.4,0.6028220275182323
0.881,0.9694189602446484,0.744131455399061,0.8779010278053784,0.111,0.22631578947368422,0.1262848751835536,0.12738389346759293,0.056,0.09538461538461539,0.04552129221732746,0.05801645659243732
0.987,0.9914529914529915,0.9809725158562368,0.9869961516037327,0.133,0.00821917808219178,0.005905511811023622,0.11699628914766265,0.283,0.32727272727272727,0.38976377952755903,0.27503931298753787
0.977,0.9564393939393939,1.0,0.9769825239686017,0.656,0.7435344827586207,0.6052631578947368,0.6572412108397307,0.876,0.8213256484149856,1.0,0.8716366263070996
0.994,0.9896193771626297,1.0,0.9939944757033248,0.456,0.28,0.9813084112149533,0.4665106457969529,0.456,0.28,0.9813084112149533,0.4665106457969529
0.887,0.8249534450651769,0.9588744588744589,0.887008475008475,0.785,0.814317673378076,0.7338709677419355,0.7843975476322573,0.67,0.6313291139240507,0.8044354838709677,0.6641596720671482
0.767,0.89,0.5717344753747323,0.7574132837621641,0.111,1.0,0.07684319833852545,0.14028196400872794,0.08,0.7047619047619048,0.07684319833852545,0.1339258330520326
0.953,0.9586410635155096,0.9715568862275449,0.9528343483072731,0.185,0.22631578947368422,0.25646123260437376,0.1809924789201656,0.221,0.2927927927927928,0.38767395626242546,0.1989099737605758
0.975,0.9964285714285714,0.9604130808950087,0.9750755265432056,0.481,0.4573055028462998,0.5084388185654009,0.480972492972493,0.68,0.5972222222222222,0.9978902953586498,0.6508707723697974
0.945,1.0,0.7940074906367042,0.942836791529581,0.794,0.574025974025974,0.8403041825095057,0.8040975966104171,0.822,0.6480836236933798,0.7072243346007605,0.8244105329153605
1.0,1.0,1.0,1.0,0.601,0.4405940594059406,0.23733333333333334,0.565438616148908,0.55,0.25165562913907286,0.10133333333333333,0.48837518250434653
0.991,0.9827586206896551,0.9661016949152542,0.9909697252414051,0.052,0.001,0.001,0.029361216730038022,0.287,0.001,0.001,0.1324615384615385
1.0,1.0,1.0,1.0,0.001,0.001,0.001,0.001,0.071,0.001,0.001,0.04282539682539682
0.95,0.9070631970260223,1.0,0.9499349560302764,0.115,0.0035460992907801418,0.001652892561983471,0.08228059086475202,0.001,0.0025252525252525255,0.001652892561983471,0.0012087912087912088
0.957,0.9858012170385395,0.9310344827586207,0.9570187092095722,0.929,0.9804347826086957,0.8791423001949318,0.9288983248788365,0.929,0.9804347826086957,0.8791423001949318,0.9288983248788365
0.998,1.0,0.9692307692307692,0.9979854433760682,0.98,0.9748603351955307,0.9694444444444444,0.9799877454708217,0.947,0.9873015873015873,0.8638888888888889,0.9461333333333335
0.991,0.9942528735632183,0.9558011049723757,0.9909304165418041,0.026,0.04954954954954955,0.014211886304909561,0.02384937358997744,0.015,0.001,0.001,0.006679802955665025
0.989,0.9867768595041322,0.995,0.9889882303817948,0.947,0.9285714285714286,0.9443099273607748,0.9470637344912258,0.702,0.8807947019867549,0.3220338983050847,0.6599689247120646
0.859,0.9788519637462235,0.7074235807860262,0.8550455677204837,0.691,0.5682242990654206,0.7958115183246073,0.6949512108918338,0.922,1.0,0.7958115183246073,0.9198806661607892
0.883,0.8138041733547352,0.9980314960629921,0.8812066187849689,0.189,0.03322259136212625,0.018867924528301886,0.15669070317333358,0.283,0.36737588652482267,0.48867924528301887,0.2517897912201318
0.977,1.0,0.7526881720430108,0.9755212853712542,0.574,0.5224489795918368,0.5714285714285714,0.5751135846192765,0.318,0.001,0.001,0.2663672230652504
