source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
245144.6429484371,114787653051.95425,338803.2659995388,509029.7537338854,514336040080.44806,717172.2527262527,409041.03674422606,380887116439.49115,617160.5272856416,43281527.752184995,35.02959029935032,0.2633736588588269,1.0,0.3156931808703822
259729.19871344176,131906502327.10199,363189.34776105697,704081.7331045647,1059942378102.1797,1029535.0300510322,479437.74164384144,626389368692.8264,791447.6411569034,62566692.082553424,37.12494070116631,0.252086786601008,1.0,0.27995477343091607
303038.05205314397,183327817191.35468,428167.97777432477,674272.7100975194,796080696566.6008,892233.5437353837,458834.78070971294,343166582386.15155,585804.2184775999,61439533.05278103,36.26377685564704,0.2516466883172341,1.0,0.2656943066327778
259564.26800478806,114916300230.33226,338993.06811545906,626637.2645369575,594745960090.0687,771197.7438310286,445313.9696911925,326098730466.37,571050.5498345746,55373790.49070017,35.471504805650206,0.25876029134176426,1.0,0.24019041722008494
306242.7959322075,170247386434.78613,412610.4536179205,693613.7662687723,908186924694.9111,952988.4179227527,484287.1135102207,476865588028.15894,690554.5510878622,64704602.30485536,38.34431895710671,0.23702221579149432,1.0,0.24683095355033138
344423.76602949144,243362742847.74112,493318.0949932215,931981.5277763077,1441473648272.2178,1200613.8631017958,565118.0055726503,507166862434.91064,712156.4873220708,85832738.14191885,33.148676098291254,0.27401313483926754,1.0,0.27542120414369736
296784.674482284,170735382927.9178,413201.3830179151,858004.0239568384,1264691014725.205,1124584.818822131,519322.72777203313,533708604529.1956,730553.6287838119,81929474.99673198,36.16668105931777,0.25612430881462744,1.0,0.2733848617896385
335084.30103910354,226364795329.55222,475778.0946297888,745135.0734875182,1034356693299.9391,1017033.2803305598,466696.3108955494,415918331044.95776,644917.3055865052,70379254.71082239,37.93076081957312,0.243623266501457,1.0,0.2999940797405046
315794.4792029699,197744205525.71765,444684.38866876997,739215.4976609556,1134131069838.161,1064955.900419431,470680.9914014406,547373083639.4461,739846.6622479594,72033426.3864621,37.57061440310123,0.2428932973518104,1.0,0.26565276228956836
351682.3110662748,255686472453.43863,505654.4990934409,887728.8637146609,1288710397166.2915,1135213.8112119194,539978.7175976641,411765281852.47845,641689.3967118971,84625508.40853181,38.187093971417085,0.23994524565613548,1.0,0.24947137945866074
353864.62337267125,293422429682.6736,541684.806582826,729053.6244582626,1363533718242.353,1167704.4652832125,604392.9030032567,1106766811342.1326,1052029.8528759212,69103047.22824928,36.69251495606566,0.2537744617069889,1.0,0.29666199265892335
257412.9472726164,129026024199.84822,359201.9267763582,773771.0573667191,1068767269334.7521,1033812.008701172,564318.6183887526,854944682095.346,924632.1874644782,73545600.29212992,36.31084067229951,0.2536362416767882,1.0,0.22381769686265804
360514.6571830662,253105374182.2045,503095.79026484065,868798.1382767501,1252455440803.213,1119131.5565219368,592476.9479066603,497854515152.0227,705588.0633570998,78735005.9130185,35.7233854737733,0.25612107756358715,1.0,0.26581945047197886
365233.23601526755,225424685993.44257,474789.0963295625,680447.0813996765,774095385053.8036,879826.9063024861,493088.7663314404,377689276911.2327,614564.2984352676,61461902.26867894,38.00963827898451,0.24297527148675135,1.0,0.24850648378320467
321682.1504765194,185880964428.39532,431139.1474088097,832505.8301259934,1220483971021.7432,1104755.1633831558,550842.2651591331,752685678422.4594,867574.5953072043,78998203.07061297,37.84919299300098,0.2445417147530388,1.0,0.22280421775121625
471391.498024763,500197068888.0646,707246.1162057128,1030761.1320609099,1892213397393.04,1375577.477786344,593774.6929598652,685079829105.8607,827695.4929838997,98823182.51199482,38.221345902504176,0.23968886636909573,1.0,0.25032344299667547
219962.91068152295,93266439073.97269,305395.5452752589,657348.9063240701,835759100736.1743,914198.6112088413,494582.74016826495,419402171327.6954,647612.6707590698,62063414.56369032,35.146732707759575,0.26173244380338356,1.0,0.2855124488411399
629090.1885417089,1115698977324.7957,1056266.5275984067,1150075.7218277445,2215383502075.282,1488416.4410793378,564231.6493831853,560424877920.2817,748615.3070304412,112964621.7393776,33.32602779855455,0.27785971215819494,1.0,0.2655578658389242
419438.73289724835,352854667670.6009,594015.7133196065,745950.1438193747,991544727948.1989,995763.3895400045,509217.8802637209,415975818453.63385,644961.8736434223,72061929.68157211,34.74947278358222,0.2627453782780853,1.0,0.36463075880812773
299853.92014770734,149578303632.39297,386753.5437877628,688573.0626909233,951186151845.6355,975287.727722253,490178.07792922464,568423843999.4993,753938.8861171039,61960321.65851025,34.80610493648306,0.2633284827122081,1.0,0.4026505632906789
253773.84422386804,111779121902.67516,334333.8479763531,798994.9166355522,1117572147576.0085,1057152.8496750167,425609.9520496171,410429455872.85175,640647.6846698595,78130278.83277485,32.30472122303197,0.28458393396525666,1.0,0.2120481103845229
292744.98373985087,185223922114.3681,430376.48880296433,675295.9112740266,823030222503.9033,907210.1313939915,517873.3900942568,476610404422.161,690369.7592031107,59504318.954539694,36.40195991286718,0.2568673253236688,1.0,0.2731975930654731
293691.2643149639,163341269062.72458,404155.00623241643,766017.5149494464,950532110325.1511,974952.3631055781,531540.5259433044,552661458822.296,743412.038389409,69805143.2780761,37.67174015055038,0.2443376498297701,1.0,0.24916870419500323
429910.62774773093,548176742739.00366,740389.5884863614,608400.642379094,628215205166.6818,792600.2808267744,412618.13316469593,302962074405.7559,550419.9073487041,55308364.5705229,37.265888949427364,0.24694185414563333,1.0,0.3014569034849012
214508.6923186912,88196346074.7041,296978.69633141044,629520.3159532798,811233361010.8645,900684.9399267562,462859.8782004191,525225195086.7275,724724.2200221595,60965374.24336224,33.375063206077535,0.275625608577671,1.0,0.35081912298706636
420357.5930012778,332827954697.8739,576912.4324348314,810412.0333037733,1187076230808.5103,1089530.2798951988,581188.5390341507,647418474975.3617,804623.1881914426,72444265.70417409,35.516807519932364,0.25637046680314957,1.0,0.28918202197825527
248460.6350075147,94565065002.66428,307514.33300362487,688178.8079507179,831939865048.9688,912107.375833004,479046.608222785,393110100128.8933,626984.928151302,60169548.86007976,35.344929399115955,0.2614019290317871,1.0,0.3068972447577163
