source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
578739.1332012608,1087445190980.282,1042806.4014860486,874536.4850396968,1358591351039.1052,1165586.2692392636,535931.3812835458,447802318893.56104,669180.3336123687,80236854.80787273,35.07066755072493,0.26449244908645425,1.0,0.3260322372913355
492417.4149036076,594457880334.5599,771010.946961559,1371085.02735093,3665047690736.389,1914431.427535703,579534.3684246979,980698811204.1101,990302.3837213108,133845302.53491217,35.179672084844476,0.2671817309457362,1.0,0.36732687429963135
522216.0225591125,818602470447.983,904766.5281430249,1377878.4593743556,3206434263790.306,1790651.9102802493,660693.9812587431,718793301313.4979,847816.7852275029,133579954.23948911,36.36697411657037,0.2560954630063589,1.0,0.24288033923459884
390442.3300541898,308806311087.13226,555703.4380738816,887746.2677789781,1351968112964.1782,1162741.6363767912,484773.6301768329,396978871955.0943,630062.5936802584,77836901.93550323,34.89934235064997,0.26307496539245806,1.0,0.3438791505998694
384643.1147193006,301602836811.7938,549183.79146857,1011882.1826740481,1920539576932.626,1385835.3354322533,589274.3926002409,634468011689.0581,796535.003429892,92907461.42058443,34.48210003918414,0.269684005354157,1.0,0.32671221017799174
559065.5174053103,911198547714.8242,954567.2043993677,1179959.3687471969,2407459230859.7764,1551598.9271908435,555941.6659692279,468569275918.08673,684521.2019492799,112531021.81784245,36.56945549176499,0.26029470550670025,1.0,0.34012562475946284
553376.7201803825,793940508168.7107,891033.3934083002,1364292.0639881277,3261977760810.1533,1806094.6156860534,722838.0961272276,1417894981986.1865,1190753.9552679162,132519554.12602061,33.0933542265334,0.2790619196590712,1.0,0.25610142958628396
322363.7843817696,203092239064.51334,450657.5629727225,1265945.190034728,2762497444099.9404,1662076.2449719147,555658.5881482505,721992928045.7998,849701.6700264863,117860255.38561782,34.734011208069525,0.27098657373684476,1.0,0.27877917319802675
357689.66005302797,242495016935.62958,492437.8305285141,916655.0725726112,1639161542100.9478,1280297.4428237164,537160.0336300201,736061167634.825,857940.0722864185,87980353.46246089,37.06230622570143,0.24701559105970258,1.0,0.358558900323475
507124.78802548,660461050313.4574,812687.5477780236,1045413.5379035658,1836354352651.8853,1355121.5268941326,659344.4285749029,801001491878.7668,894986.8668750211,97392672.05856767,34.762932788391105,0.26973930391033346,1.0,0.23424084514874297
470269.2502033075,463747758056.98956,680990.2775054792,1062304.0930551705,1782170582413.5757,1334979.6187259099,672642.3295164008,742569472699.4413,861724.708186693,101317170.33585496,33.704693772410174,0.27346308593607777,1.0,0.386434767202593
474087.8803828726,524126076449.88684,723965.5215891754,1046716.0189886187,2433307309207.7427,1559906.1860277825,701539.321982786,1100272707425.3389,1048938.8482773143,96222815.51391788,38.65029676474942,0.24273519187090134,1.0,0.44015043582745406
421938.8107018976,379191965811.3861,615785.6492411837,1051150.6732731492,1781187069828.446,1334611.2054933624,604309.2768388394,571963036826.5192,756282.3790268548,97049503.83813961,37.39557375094785,0.24766460164665996,1.0,0.2572132554029377
386843.6193316435,297313730028.87463,545264.8255929174,840063.1351083427,1504303806424.5469,1226500.6344982244,571039.6419832193,680125635437.4706,824697.2992786326,78296699.3844906,34.25579932027067,0.2690451459958768,1.0,0.22392460297316566
385553.2961650698,342201256827.14264,584979.7063378717,1216312.0513156734,3173392289785.4043,1781401.776631371,571601.5158901431,1046924845697.7358,1023193.4546788969,120298438.03386277,32.55440605870579,0.28556146602660215,1.0,0.3391032141492641
569729.3601509611,946616022945.3003,972941.9422274386,1170343.5371062998,2465737452947.3745,1570266.6821108365,608603.472479518,598443567789.8923,773591.3441797887,114136921.66780339,36.04481781608676,0.2585316885719783,1.0,0.24205011521147965
302217.70465941477,183591559314.80475,428475.8561632204,767907.6057997415,1195969963941.6792,1093604.116644446,429400.2565018446,349830157002.9003,591464.4173599122,73727741.14125767,36.18853083303563,0.25998994434300793,1.0,0.428276713577379
363784.9057055416,378989601396.92175,615621.313306258,1252249.731764048,2657333913651.333,1630133.0969130506,705260.5702779515,877616138255.7367,936811.6877237051,119841222.43221058,34.35422444239454,0.27284546740988747,1.0,0.40087728119068167
498901.11292072333,385300758126.56573,620725.9927911556,1096160.220796603,1940306837086.4795,1392948.971458208,601635.2389619958,697899597546.8601,835403.8529638585,104249590.52490513,36.28316897238563,0.257284553865158,1.0,0.30310934990459965
508857.99928981526,584537237922.0236,764550.3501549284,1540898.771993338,4112872338567.4395,2028021.7796087496,588762.6245409371,698324916785.1028,835658.3732513561,151489699.75228018,34.5028024369808,0.2681658061701879,1.0,0.269933241717647
433041.8821198366,333328246109.4771,577345.8635077219,1051866.772459859,2087190392989.6616,1444711.1797828872,482627.64676233835,519950853732.5446,721076.1774823411,100673473.38063128,36.02304688949924,0.2549729122897356,1.0,0.3107103118962072
541832.6290780181,747180815746.3458,864396.2145603981,1772623.9492628395,5152264509063.1045,2269860.0197067447,648008.3853212058,704000842865.239,839047.5808112667,173106858.6530178,34.83804301985967,0.2707516985865502,1.0,0.3850872476041946
485134.16298547626,699104258454.3558,836124.5472143225,1033516.9401588886,1987478469809.9888,1409779.581994997,633254.709523442,821510670607.8197,906372.2582955746,101565936.0745171,35.371365813620365,0.25993752899231015,1.0,0.286900924814212
449744.46023681894,415359669830.05597,644484.0338053814,1075793.1879682522,2168908223760.7788,1472721.366640947,528486.703148242,383069068082.1953,618925.7371302274,105290012.892955,33.46452378962765,0.2765049375009991,1.0,0.4461231260560771
549956.594343276,715971605996.9768,846151.0538887113,1249522.9780857465,2973155052701.015,1724283.924619439,652576.5644703091,722548593545.737,850028.5839580555,124124451.5395394,34.9299770426482,0.2655882296588009,1.0,0.30026099304780346
381608.4726170501,309373557808.4777,556213.5900968959,945553.0002155226,2790962607544.6177,1670617.4330302607,741027.0656080926,2296538326384.8223,1515433.379065151,93474288.16173263,35.28873308230422,0.2654470481097134,1.0,0.28968365980304356
412319.6884979067,402988242035.97925,634813.5490330836,1210780.3498181533,2744552077205.6387,1656668.9703153248,606150.8035750061,879714254665.879,937930.836824272,119416088.85106081,32.1754096355782,0.28758823644772497,1.0,0.3490785779499912
359835.8073189784,233218942295.8719,482927.471051163,1072542.64499198,2122347639696.501,1456827.9375741326,607838.0530000181,865231899986.3505,930178.423737269,100284405.39349784,35.64722865641046,0.26274187300985846,1.0,0.22295320161538032
394243.60914765915,301019176989.02313,548652.1457071166,1530877.3451992096,3969548947552.439,1992372.6929348432,530743.6436599372,435779069084.82837,660135.6444586434,149052810.63552174,32.95753785725997,0.2804327952635879,1.0,0.25596658487631435
369700.6500367074,315098711981.8451,561336.5407505956,1139892.221144905,1994130513020.5427,1412136.8605841796,587340.2730188961,866423680008.7947,930818.8223326786,111987578.42485785,33.88532771503129,0.27910607476026345,1.0,0.2559671691755296
618474.4788588696,773509018731.8911,879493.61494663,1405857.5277592784,3946745030813.5923,1986641.6463000046,605414.1835501197,476212261371.9243,690081.3440254158,139549191.70831078,34.69484209722086,0.268110529425558,1.0,0.40861591564707994
352531.57109893684,266308402799.3464,516050.77540814376,1192839.5633249728,2258949192486.7876,1502980.1038226646,568910.2199456278,523143706988.8939,723286.7391214179,113977802.01238121,36.28529815586694,0.2562209400882542,1.0,0.22584879395396174
