target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.8916666666666667,0.9196428571428571,0.8583333333333333,0.8879310344827586,0.785,0.8518518518518519,0.69,0.7624309392265193,0.7,0.7222222222222222,0.65,0.6842105263157895,11.824965133041909
0.8916666666666667,0.9196428571428571,0.8583333333333333,0.8879310344827586,0.705,0.7411764705882353,0.63,0.6810810810810811,0.7,0.717391304347826,0.66,0.6875,10.428335678982503
0.8583333333333333,0.8771929824561403,0.8333333333333334,0.8547008547008548,0.74,0.7857142857142857,0.66,0.717391304347826,0.72,0.7244897959183674,0.71,0.7171717171717172,11.76957044034536
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.705,0.711340206185567,0.69,0.700507614213198,0.645,0.6593406593406593,0.6,0.6282722513089005,11.769231764742486
0.8791666666666667,0.8888888888888888,0.8666666666666667,0.8776371308016878,0.725,0.7472527472527473,0.68,0.7120418848167539,0.72,0.7391304347826086,0.68,0.7083333333333334,14.460208614670243
0.9,0.9067796610169492,0.8916666666666667,0.8991596638655461,0.69,0.7065217391304348,0.65,0.6770833333333333,0.74,0.7553191489361702,0.71,0.731958762886598,10.726538827140407
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.72,0.7558139534883721,0.65,0.6989247311827957,0.7,0.7380952380952381,0.62,0.6739130434782609,10.126283021374284
0.875,0.8813559322033898,0.8666666666666667,0.8739495798319329,0.635,0.6588235294117647,0.56,0.6054054054054056,0.7,0.717391304347826,0.66,0.6875,13.454036908918344
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.74,0.8,0.64,0.7111111111111111,0.725,0.7368421052631579,0.7,0.717948717948718,12.390884034575786
0.9,0.9363636363636364,0.8583333333333333,0.8956521739130435,0.735,0.7526881720430108,0.7,0.7253886010362695,0.725,0.7368421052631579,0.7,0.717948717948718,13.045340852467453
0.8791666666666667,0.8888888888888888,0.8666666666666667,0.8776371308016878,0.735,0.7582417582417582,0.69,0.7225130890052356,0.73,0.7346938775510204,0.72,0.7272727272727272,10.555535944156006
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.69,0.7159090909090909,0.63,0.6702127659574468,0.67,0.6808510638297872,0.64,0.6597938144329897,12.819231832145174
0.9125,0.9459459459459459,0.875,0.9090909090909091,0.73,0.7169811320754716,0.76,0.7378640776699028,0.74,0.7608695652173914,0.7,0.7291666666666667,12.031057639600816
0.9083333333333333,0.9537037037037037,0.8583333333333333,0.9035087719298245,0.705,0.7469879518072289,0.62,0.6775956284153004,0.685,0.7032967032967034,0.64,0.6701570680628273,12.069571904220151
0.9166666666666666,0.923728813559322,0.9083333333333333,0.9159663865546218,0.68,0.6956521739130435,0.64,0.6666666666666666,0.68,0.6836734693877551,0.67,0.6767676767676768,10.52530193903008
0.9,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.72,0.7444444444444445,0.67,0.7052631578947369,0.735,0.7326732673267327,0.74,0.7363184079601991,10.555785673373169
0.8833333333333333,0.9107142857142857,0.85,0.8793103448275861,0.735,0.7640449438202247,0.68,0.7195767195767195,0.715,0.7263157894736842,0.69,0.7076923076923077,13.910136909357714
0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.63,0.6625,0.53,0.588888888888889,0.675,0.6923076923076923,0.63,0.6596858638743456,10.176575488440719
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.685,0.7126436781609196,0.62,0.6631016042780749,0.64,0.6521739130434783,0.6,0.6250000000000001,11.80944565258631
