target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9166666666666666,0.9137931034482758,0.625,0.5989304812834224,0.695,0.6965174129353233
0.9458333333333333,0.9446808510638298,0.59,0.5816326530612245,0.63,0.6262626262626263
0.9208333333333333,0.919831223628692,0.62,0.6082474226804124,0.61,0.6060606060606062
0.9,0.8974358974358975,0.62,0.6161616161616161,0.635,0.6256410256410256
0.9166666666666666,0.9145299145299146,0.695,0.680628272251309,0.65,0.6428571428571429
0.8833333333333333,0.8803418803418803,0.705,0.700507614213198,0.71,0.7100000000000001
0.9166666666666666,0.9137931034482758,0.655,0.6600985221674877,0.65,0.6464646464646464
0.9333333333333333,0.9322033898305084,0.72,0.7171717171717172,0.675,0.6829268292682926
0.9,0.8956521739130435,0.45,0.45544554455445546,0.61,0.61
0.9166666666666666,0.9145299145299146,0.775,0.7738693467336684,0.735,0.7309644670050761
0.9125,0.9106382978723404,0.645,0.6395939086294417,0.65,0.6428571428571429
0.9375,0.935064935064935,0.62,0.6274509803921569,0.58,0.5757575757575758
0.9041666666666667,0.9029535864978904,0.655,0.6387434554973822,0.685,0.6865671641791044
0.9208333333333333,0.9177489177489178,0.69,0.69,0.685,0.676923076923077
0.9333333333333333,0.9333333333333333,0.745,0.7384615384615385,0.705,0.7093596059113302
0.9416666666666667,0.9406779661016949,0.685,0.6701570680628273,0.725,0.7208121827411167
0.9333333333333333,0.9316239316239316,0.655,0.6461538461538461,0.66,0.6565656565656566
0.9291666666666667,0.9294605809128631,0.595,0.5846153846153846,0.635,0.6439024390243901
0.9041666666666667,0.9029535864978904,0.655,0.6310160427807486,0.7,0.6969696969696969
0.9291666666666667,0.9282700421940928,0.765,0.7589743589743589,0.71,0.7156862745098039
0.9083333333333333,0.9067796610169492,0.685,0.6802030456852791,0.66,0.6699029126213591
0.925,0.9224137931034484,0.615,0.6051282051282052,0.63,0.6262626262626263
0.9375,0.9367088607594937,0.575,0.5641025641025641,0.605,0.6146341463414634
0.9,0.9008264462809917,0.705,0.700507614213198,0.695,0.6995073891625615
0.9,0.8983050847457628,0.57,0.5825242718446602,0.62,0.62
0.875,0.8717948717948718,0.725,0.7058823529411765,0.655,0.6461538461538461
0.9291666666666667,0.9282700421940928,0.66,0.6263736263736263,0.645,0.6467661691542289
