target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.675,0.6923076923076923,0.63,0.6596858638743456,0.63,0.6354166666666666,0.61,0.6224489795918368,12.805480404706527
0.8958333333333334,0.9439252336448598,0.8416666666666667,0.8898678414096917,0.525,0.5274725274725275,0.48,0.5026178010471205,0.54,0.5377358490566038,0.57,0.5533980582524272,15.077394842002924
0.9041666666666667,0.944954128440367,0.8583333333333333,0.8995633187772926,0.55,0.55,0.55,0.55,0.58,0.5816326530612245,0.57,0.5757575757575758,15.918528960351134
0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.54,0.5465116279069767,0.47,0.5053763440860215,0.56,0.5625,0.54,0.5510204081632654,14.482095888745468
0.9333333333333333,0.9482758620689655,0.9166666666666666,0.9322033898305084,0.505,0.5046728971962616,0.54,0.5217391304347827,0.565,0.5670103092783505,0.55,0.5583756345177665,15.198871793843654
0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.6,0.6136363636363636,0.54,0.574468085106383,0.585,0.5858585858585859,0.58,0.5829145728643216,15.274674553127426
0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.49,0.4883720930232558,0.42,0.45161290322580644,0.52,0.5196078431372549,0.53,0.5247524752475248,16.46771352139549
0.9,0.8934426229508197,0.9083333333333333,0.9008264462809917,0.435,0.4444444444444444,0.52,0.4792626728110599,0.52,0.5196078431372549,0.53,0.5247524752475248,13.244965248386377
0.9,0.9210526315789473,0.875,0.8974358974358975,0.51,0.5111111111111111,0.46,0.4842105263157895,0.555,0.5591397849462365,0.52,0.5388601036269429,14.252381421449568
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.475,0.4742268041237113,0.46,0.46700507614213194,0.545,0.5445544554455446,0.55,0.5472636815920399,19.401241593671312
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.585,0.6103896103896104,0.47,0.5310734463276836,0.595,0.6021505376344086,0.56,0.5803108808290157,14.015174620219803
0.925,0.9322033898305084,0.9166666666666666,0.9243697478991596,0.39,0.375,0.33,0.351063829787234,0.47,0.47,0.47,0.47,16.58316765656187
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.545,0.5529411764705883,0.47,0.508108108108108,0.565,0.5684210526315789,0.54,0.5538461538461539,17.642130655514446
0.9041666666666667,0.9217391304347826,0.8833333333333333,0.902127659574468,0.53,0.5294117647058824,0.54,0.5346534653465347,0.46,0.46078431372549017,0.47,0.46534653465346537,20.74387370533856
0.8916666666666667,0.9272727272727272,0.85,0.8869565217391303,0.55,0.5568181818181818,0.49,0.5212765957446808,0.61,0.6222222222222222,0.56,0.5894736842105264,17.447517915775766
0.9416666666666667,0.9907407407407407,0.8916666666666667,0.9385964912280701,0.455,0.4608695652173913,0.53,0.49302325581395345,0.61,0.6145833333333334,0.59,0.6020408163265306,16.52629373954498
0.9166666666666666,0.9385964912280702,0.8916666666666667,0.9145299145299146,0.445,0.4444444444444444,0.44,0.4422110552763819,0.54,0.5425531914893617,0.51,0.5257731958762887,15.416142864920316
0.925,0.9553571428571429,0.8916666666666667,0.9224137931034484,0.62,0.6363636363636364,0.56,0.5957446808510639,0.64,0.6458333333333334,0.62,0.6326530612244898,13.423814667305502
0.9458333333333333,0.9734513274336283,0.9166666666666666,0.944206008583691,0.45,0.4537037037037037,0.49,0.4711538461538462,0.54,0.5416666666666666,0.52,0.5306122448979592,15.864881403419842
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.655,0.6741573033707865,0.6,0.6349206349206349,0.585,0.5858585858585859,0.58,0.5829145728643216,15.127024614595454
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.555,0.5632183908045977,0.49,0.5240641711229945,0.62,0.6304347826086957,0.58,0.6041666666666666,16.802292292380514
0.9041666666666667,0.944954128440367,0.8583333333333333,0.8995633187772926,0.6,0.5961538461538461,0.62,0.607843137254902,0.6,0.6020408163265306,0.59,0.5959595959595959,13.639186073883195
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.625,0.6404494382022472,0.57,0.6031746031746033,0.59,0.59375,0.57,0.5816326530612245,14.942265003178553
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.64,0.6320754716981132,0.67,0.6504854368932038,0.63,0.63,0.63,0.63,15.311307132630501
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.445,0.43820224719101125,0.39,0.4126984126984127,0.565,0.5631067961165048,0.58,0.5714285714285715,15.448808776761798
0.8916666666666667,0.9272727272727272,0.85,0.8869565217391303,0.635,0.651685393258427,0.58,0.6137566137566138,0.595,0.5959595959595959,0.59,0.5929648241206029,19.55730840741059
0.9375,0.972972972972973,0.9,0.935064935064935,0.61,0.6222222222222222,0.56,0.5894736842105264,0.6,0.5980392156862745,0.61,0.6039603960396039,15.815229794883251
0.925,0.9396551724137931,0.9083333333333333,0.9237288135593221,0.365,0.36082474226804123,0.35,0.3553299492385787,0.48,0.4782608695652174,0.44,0.4583333333333333,18.371639076830313
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.56,0.5652173913043478,0.52,0.5416666666666667,0.575,0.5773195876288659,0.56,0.5685279187817258,18.309873622991596
0.9416666666666667,0.9491525423728814,0.9333333333333333,0.9411764705882353,0.515,0.5145631067961165,0.53,0.5221674876847291,0.575,0.5757575757575758,0.57,0.5728643216080402,15.060615541285413
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.645,0.6666666666666666,0.58,0.6203208556149732,0.615,0.6185567010309279,0.6,0.6091370558375634,15.809300386780395
0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421,0.52,0.5196078431372549,0.53,0.5247524752475248,0.595,0.594059405940594,0.6,0.5970149253731343,13.616965888332526
0.9333333333333333,0.940677966101695,0.925,0.9327731092436976,0.62,0.6276595744680851,0.59,0.6082474226804124,0.595,0.5979381443298969,0.58,0.5888324873096447,16.005096564791973
0.9125,0.9304347826086956,0.8916666666666667,0.9106382978723404,0.54,0.5357142857142857,0.6,0.5660377358490566,0.595,0.5922330097087378,0.61,0.6009852216748768,16.506478042291246
0.9125,0.9304347826086956,0.8916666666666667,0.9106382978723404,0.695,0.7010309278350515,0.68,0.6903553299492386,0.645,0.6464646464646465,0.64,0.6432160804020101,15.062195758026734
0.9333333333333333,0.956140350877193,0.9083333333333333,0.9316239316239316,0.565,0.5670103092783505,0.55,0.5583756345177665,0.6,0.6020408163265306,0.59,0.5959595959595959,15.007566407304882
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.56,0.5625,0.54,0.5510204081632654,0.575,0.5773195876288659,0.56,0.5685279187817258,14.324828403746684
0.9375,0.9646017699115044,0.9083333333333333,0.9356223175965666,0.495,0.4957983193277311,0.59,0.5388127853881278,0.615,0.6138613861386139,0.62,0.6169154228855721,16.7043960821983
