target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.8541666666666666,0.8632478632478633,0.8416666666666667,0.8523206751054853,0.57,0.5686274509803921,0.58,0.5742574257425743,0.555,0.5567010309278351,0.54,0.5482233502538071,0.07324023859072484,0.09624559094909962
0.85,0.868421052631579,0.825,0.8461538461538461,0.485,0.48598130841121495,0.52,0.5024154589371981,0.55,0.5510204081632653,0.54,0.5454545454545455,0.09360020019731552,0.11374883458150511
0.8458333333333333,0.8547008547008547,0.8333333333333334,0.8438818565400844,0.56,0.5612244897959183,0.55,0.5555555555555555,0.56,0.5612244897959183,0.55,0.5555555555555555,0.07154683830076664,0.08336892863330002
0.8833333333333333,0.9107142857142857,0.85,0.8793103448275861,0.5,0.5,0.53,0.5145631067961165,0.51,0.5108695652173914,0.47,0.4895833333333333,0.09807763748636027,0.08993979481259187
0.8541666666666666,0.8632478632478633,0.8416666666666667,0.8523206751054853,0.45,0.4519230769230769,0.47,0.4607843137254902,0.52,0.5217391304347826,0.48,0.4999999999999999,0.105118682152506,0.1472722477377188
0.8625,0.8717948717948718,0.85,0.8607594936708861,0.55,0.5657894736842105,0.43,0.48863636363636365,0.61,0.6122448979591837,0.6,0.6060606060606062,0.06515542058060486,0.09078622484137844
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.455,0.4482758620689655,0.39,0.41711229946524064,0.52,0.5217391304347826,0.48,0.4999999999999999,0.07094178398155926,0.11738271834670996
0.8,0.8214285714285714,0.7666666666666667,0.793103448275862,0.49,0.48936170212765956,0.46,0.4742268041237113,0.51,0.5104166666666666,0.49,0.4999999999999999,0.0581455343347387,0.084948305576091
0.8333333333333334,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.59,0.5978260869565217,0.55,0.5729166666666666,0.635,0.6363636363636364,0.63,0.6331658291457286,0.05678022549489062,0.08303877602761202
0.8708333333333333,0.8938053097345132,0.8416666666666667,0.8669527896995708,0.55,0.5520833333333334,0.53,0.5408163265306124,0.55,0.5510204081632653,0.54,0.5454545454545455,0.08929606275992491,0.1033852231865879
0.8833333333333333,0.9259259259259259,0.8333333333333334,0.8771929824561403,0.56,0.5681818181818182,0.5,0.5319148936170213,0.555,0.5617977528089888,0.5,0.5291005291005291,0.08951864961565378,0.10259905234479617
0.825,0.825,0.825,0.825,0.575,0.5842696629213483,0.52,0.5502645502645502,0.6,0.5943396226415094,0.63,0.6116504854368932,0.05509025605403246,0.058084128735539184
0.8666666666666667,0.8793103448275862,0.85,0.864406779661017,0.535,0.5333333333333333,0.56,0.5463414634146342,0.57,0.5795454545454546,0.51,0.5425531914893618,0.06460020965641942,0.09246614829385878
0.8458333333333333,0.8608695652173913,0.825,0.8425531914893616,0.525,0.5247524752475248,0.53,0.527363184079602,0.56,0.56,0.56,0.56,0.07083127575105265,0.08279738913307876
0.9,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.565,0.5698924731182796,0.53,0.5492227979274611,0.575,0.5773195876288659,0.56,0.5685279187817258,0.07513306398943652,0.10284224000881446
0.8416666666666667,0.853448275862069,0.825,0.8389830508474576,0.495,0.4954954954954955,0.55,0.5213270142180094,0.535,0.5384615384615384,0.49,0.5130890052356021,0.07868376395013162,0.10356531662817028
0.8375,0.8347107438016529,0.8416666666666667,0.8381742738589212,0.645,0.6494845360824743,0.63,0.6395939086294417,0.6,0.6111111111111112,0.55,0.5789473684210527,0.06361680037879358,0.07714204657785953
0.8166666666666667,0.8275862068965517,0.8,0.8135593220338982,0.595,0.5979381443298969,0.58,0.5888324873096447,0.585,0.5934065934065934,0.54,0.5654450261780104,0.07297800597763623,0.07031374131025105
0.825,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.58,0.5851063829787234,0.55,0.5670103092783506,0.625,0.6344086021505376,0.59,0.6113989637305699,0.05937483114645202,0.08456586061627545
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.455,0.4482758620689655,0.39,0.41711229946524064,0.49,0.49019607843137253,0.5,0.495049504950495,0.07255436936450504,0.09272737344611018
0.8208333333333333,0.8347826086956521,0.8,0.8170212765957447,0.435,0.42857142857142855,0.39,0.4083769633507854,0.49,0.49,0.49,0.49,0.06908967005948058,0.0949694963000315
0.8583333333333333,0.8839285714285714,0.825,0.8534482758620688,0.545,0.5517241379310345,0.48,0.5133689839572193,0.55,0.5520833333333334,0.53,0.5408163265306124,0.07319249900525217,0.09356268631898373
0.85,0.8559322033898306,0.8416666666666667,0.8487394957983194,0.6,0.6086956521739131,0.56,0.5833333333333334,0.655,0.6597938144329897,0.64,0.6497461928934011,0.04392053107471531,0.07373966881508788
0.8625,0.8990825688073395,0.8166666666666667,0.8558951965065502,0.585,0.5894736842105263,0.56,0.5743589743589743,0.555,0.5617977528089888,0.5,0.5291005291005291,0.081775561338816,0.09290406427615892
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.55,0.5595238095238095,0.47,0.5108695652173914,0.55,0.5510204081632653,0.54,0.5454545454545455,0.058779858811993636,0.07255662270281771
0.8833333333333333,0.9107142857142857,0.85,0.8793103448275861,0.515,0.5148514851485149,0.52,0.5174129353233831,0.505,0.5054945054945055,0.46,0.4816753926701571,0.09303461940968553,0.10673091816070165
0.8625,0.8782608695652174,0.8416666666666667,0.8595744680851064,0.575,0.5806451612903226,0.54,0.5595854922279794,0.6,0.6086956521739131,0.56,0.5833333333333334,0.06278191165523142,0.09180364930637401
0.8625,0.8849557522123894,0.8333333333333334,0.8583690987124464,0.51,0.5089285714285714,0.57,0.5377358490566037,0.475,0.47368421052631576,0.45,0.46153846153846156,0.10806688423013236,0.10830676371763147
0.8833333333333333,0.9259259259259259,0.8333333333333334,0.8771929824561403,0.48,0.4787234042553192,0.45,0.4639175257731959,0.5,0.5,0.49,0.494949494949495,0.08386290007628268,0.10605612361420855
0.8333333333333334,0.8389830508474576,0.825,0.8319327731092436,0.635,0.6363636363636364,0.63,0.6331658291457286,0.61,0.6170212765957447,0.58,0.5979381443298969,0.059312032276157445,0.052164159267233404
0.8458333333333333,0.8738738738738738,0.8083333333333333,0.8398268398268398,0.565,0.5714285714285714,0.52,0.5445026178010471,0.5,0.5,0.45,0.4736842105263158,0.08187870480621395,0.0845302135119091
0.875,0.8947368421052632,0.85,0.8717948717948718,0.585,0.580952380952381,0.61,0.5951219512195122,0.575,0.5773195876288659,0.56,0.5685279187817258,0.09983602044568059,0.09494586292398233
0.85,0.868421052631579,0.825,0.8461538461538461,0.485,0.4864864864864865,0.54,0.5118483412322276,0.53,0.5306122448979592,0.52,0.5252525252525252,0.08098068241824916,0.09546274336098881
0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.49,0.49019607843137253,0.5,0.495049504950495,0.43,0.425531914893617,0.4,0.4123711340206186,0.10928629862889071,0.11703899576500397
0.8166666666666667,0.8114754098360656,0.825,0.8181818181818182,0.51,0.5106382978723404,0.48,0.49484536082474223,0.555,0.5591397849462365,0.52,0.5388601036269429,0.08039099716759637,0.11175854300013376
0.8166666666666667,0.8454545454545455,0.775,0.808695652173913,0.505,0.5051546391752577,0.49,0.4974619289340101,0.52,0.5217391304347826,0.48,0.4999999999999999,0.07274682898480828,0.07750460190730467
0.8375,0.8521739130434782,0.8166666666666667,0.8340425531914893,0.54,0.54,0.54,0.54,0.575,0.5824175824175825,0.53,0.5549738219895288,0.07118871291897369,0.11628286103628707
0.8583333333333333,0.864406779661017,0.85,0.8571428571428572,0.58,0.5888888888888889,0.53,0.5578947368421053,0.525,0.5274725274725275,0.48,0.5026178010471205,0.07734144178668724,0.05833280635052018
0.825,0.8482142857142857,0.7916666666666666,0.8189655172413793,0.505,0.5054945054945055,0.46,0.4816753926701571,0.515,0.5172413793103449,0.45,0.48128342245989303,0.07201401166252519,0.11839447283706162
