label_code,trans_target_f1,delta_f1,trans_target_accuracy,delta_accuracy,div_score,w_dist,log_w_dist,inverse_div_score,sqrt_w_dist,inverse_log_w_dist
997.4,0.5210176014688488,0.0003055165664180848,0.5208333333333334,-0.38916666666666666,172.44495712928787,8.493812837774185e-09,-18.583927839937353,0.005798951831628604,9.216188386623933e-05,-0.05380993773829521
276.5,0.5360751097050719,0.02891354062399809,0.5333333333333333,-0.29666666666666663,141.72056086861755,7.886932336645084e-09,-18.6580585816665,0.007056139164782539,8.880840239890076e-05,-0.05359614429459478
998.59,0.5333333333333333,0.00029112081513826826,0.55,-0.30499999999999994,141.94423096503544,8.710382164905753e-09,-18.558750170476724,0.0070450203801965434,9.332942818267855e-05,-0.0538829388193824
787.91,0.5889781035009249,0.021181493331433487,0.5958333333333333,-0.23416666666666663,126.494824684659,8.7945701569163e-09,-18.549131333525285,0.007905461764881815,9.377936956983823e-05,-0.05391088035441435
401.9,0.5782667876588021,0.038415063995550724,0.5833333333333334,-0.2466666666666666,133.34673691899025,8.428280736197284e-09,-18.59167303161651,0.007499246124091601,9.180566832280719e-05,-0.053787520805654576
562.10,0.5553287981859409,0.01619836340333225,0.5666666666666667,-0.2433333333333334,131.774012618568,8.360108224566986e-09,-18.599794464411225,0.007588749709660826,9.143362742758808e-05,-0.053764034968956036
287.5,0.5676855895196505,0.001318764113492965,0.5833333333333334,-0.22166666666666668,123.35368338510817,8.847611856531187e-09,-18.54311826106139,0.008106770487574468,9.40617449154075e-05,-0.053928362313252105
572.3,0.6835470085470086,-0.005676526845036056,0.6875,-0.27249999999999996,120.4284202263189,8.658007317082264e-09,-18.564781242803132,0.008303687768391535,9.304841383431672e-05,-0.05386543406686585
593.9,0.6056980433632999,0.031856275722530136,0.6,-0.18000000000000005,107.77854916508598,8.447338233456992e-09,-18.589414447158617,0.009278284108911926,9.190940231258711e-05,-0.05379405590437247
E879.0,0.7063548310890622,-0.01857599612208194,0.7041666666666667,-0.2008333333333333,112.57270246603322,8.576470001149769e-09,-18.57424342988112,0.008883148206393392,9.260923280726262e-05,-0.053837993659072034
715.90,0.5870046763475265,0.009321385150100614,0.5916666666666667,-0.21333333333333337,119.58523890133125,8.758092741374709e-09,-18.553287679290694,0.008362236085216933,9.358468219412143e-05,-0.05389880312782552
585.3,0.7415229885057472,-0.01812923666371935,0.74375,-0.20624999999999993,95.73251665382944,8.895668706237257e-09,-18.53770134088734,0.010445771561777893,9.431685271592377e-05,-0.05394412077372119
428.0,0.6318067897015265,0.006531459305050724,0.6416666666666667,-0.21833333333333327,111.77906087471177,8.307516698484736e-09,-18.6061051056525,0.008946219373956414,9.114557969800146e-05,-0.05374579979644433
997.31,0.6624750641208321,0.026881843781849102,0.6666666666666666,-0.2583333333333334,139.50191028940685,8.84514525910463e-09,-18.54339708673298,0.00716836061904405,9.404863241485561e-05,-0.05392755142559385
305.1,0.519256745626462,0.03926306861249218,0.5104166666666666,-0.2745833333333334,134.385741435345,8.690813545501164e-09,-18.560999283466344,0.007441265638148932,9.322453295941559e-05,-0.05387640960100537
V45.81,0.6160256410256411,-0.00844017094017091,0.625,-0.255,125.89549921954972,8.575324636876076e-09,-18.5743769860832,0.007943095711913383,9.260304874503903e-05,-0.05383760654525571
V15.82,0.5762014368417382,0.013013110850548792,0.5833333333333334,-0.22916666666666663,124.02371348830403,8.462292315688875e-09,-18.587645740729837,0.008062974183516158,9.199071863883266e-05,-0.05379917467486312
571.2,0.6666666666666667,-0.022988505747126298,0.68125,-0.22125000000000006,113.15529101337218,8.725476826413134e-09,-18.557018719759448,0.008837412648091061,9.341026081974685e-05,-0.05388796633239387
E888.9,0.5033345033345034,0.013623266142531176,0.5125,-0.2725000000000001,130.31084818512886,8.778450545315846e-09,-18.55096592034957,0.007673958184811512,9.36933858141323e-05,-0.05390554886972464
599.0,0.5720578980490875,0.011885484255984013,0.5833333333333334,-0.22166666666666668,117.41668194376693,8.50569479504389e-09,-18.582529921896274,0.008516677387280616,9.222632376411786e-05,-0.053813985727620126
V66.7,0.6012766421764748,0.01601673153183958,0.6125,-0.24249999999999994,133.46373164711878,8.76067981401992e-09,-18.552992330669,0.00749267226128536,9.359850326805401e-05,-0.053899661153147316
070.70,0.5084039548022599,0.01271461998249035,0.5125,-0.3325,159.49446376873163,8.281551399808845e-09,-18.6092355189736,0.006269810101057857,9.100302961884756e-05,-0.0537367587712252
348.30,0.5677966101694915,0.021541103561561914,0.5791666666666667,-0.25583333333333325,134.14267334258585,8.419380295138846e-09,-18.592729610552883,0.007454749298503306,9.175718116386774e-05,-0.053784464193596344
536.3,0.5897970421648836,-0.022960129669367335,0.6125,-0.2825,125.73963389393464,8.557125904434273e-09,-18.57650146200015,0.007952941877049934,9.250473449739896e-05,-0.05383144948178682
311,0.5224727352843975,0.011548205182308036,0.5416666666666666,-0.2333333333333334,125.02976167831197,8.686624299877668e-09,-18.561481431150245,0.007998095705987921,9.320206167181962e-05,-0.05387501012294096
410.71,0.6150655384104861,0.0023083665762351213,0.6104166666666666,-0.2370833333333333,118.79011917436313,8.74697419906804e-09,-18.554558002202302,0.008418208576187846,9.352525968457954e-05,-0.053895112989557965
416.8,0.6624750641208321,-0.005569013014154134,0.6645833333333333,-0.17041666666666666,97.8357960266828,8.560744123089386e-09,-18.576078720303524,0.010221207785004065,9.252428936819448e-05,-0.05383267454110253
770.81,0.8943019566367002,-0.017764988969994344,0.8916666666666667,-0.07333333333333325,33.021799384700174,8.930700159889965e-09,-18.533771039768727,0.030283025717348554,9.450238176834468e-05,-0.0539555602502187
765.19,0.9183659869385581,-0.002202519404006953,0.9166666666666666,-0.033333333333333326,34.19123578698617,9.359636596462164e-09,-18.486859372374926,0.02924726108848686,9.674521485046257e-05,-0.054092476166844684
431,0.5397517376612917,0.018227129298148737,0.5395833333333333,-0.3404166666666667,156.05380176460073,8.313840134403818e-09,-18.605344224782453,0.006408046383313682,9.118026175880291e-05,-0.05374799777517649
276.6,0.5478260869565218,0.02059892815041564,0.5583333333333333,-0.2516666666666667,136.0992090397877,8.40133705504063e-09,-18.594874970544733,0.007347581275859264,9.165880784213064e-05,-0.053778258879613496
272.0,0.526425509914778,0.027498471288168513,0.5208333333333333,-0.3191666666666667,155.75704902777562,8.164662835290138e-09,-18.623450405278604,0.006420255174593565,9.035852386626365e-05,-0.05369574263835457
276.51,0.5567418822234452,0.021102312588059724,0.5666666666666667,-0.2533333333333333,126.98585263139755,8.546403672639629e-09,-18.57775526556753,0.007874892984360272,9.244676128799552e-05,-0.05382781642373257
583.81,0.6863165732926744,-0.03661903454311155,0.69375,-0.26625,101.19107260230271,8.747433389183849e-09,-18.55450550655607,0.009882294695404225,9.352771455127004e-05,-0.05389526547321129
V12.54,0.595659407138536,0.010425483824238246,0.6083333333333333,-0.22666666666666668,119.93263103422541,8.695175918191152e-09,-18.560497457235442,0.008338014361701345,9.324792715224908e-05,-0.053877866275085735
V42.2,0.6396740514387573,-0.015423072488362166,0.6458333333333334,-0.2041666666666666,104.81815466449521,8.629023294030158e-09,-18.568134513918707,0.00954033204649354,9.289253626653844e-05,-0.05385570635813728
038.9,0.7167283916496232,-0.018241250002823395,0.725,-0.21999999999999997,98.15561230666322,8.818553716706924e-09,-18.54640795807115,0.010187904455995288,9.390715476845693e-05,-0.05391879668886575
300.00,0.5353305393146031,0.02106305294411226,0.5416666666666666,-0.2483333333333334,127.49965556154359,8.702992350727264e-09,-18.559598922063095,0.007843158443022647,9.328982983545025e-05,-0.05388047469125154
V12.51,0.5636702813905645,0.007916541459609405,0.5708333333333333,-0.27416666666666667,135.08266810348522,8.805039566714144e-09,-18.54794160134404,0.007402874210582752,9.383517233273536e-05,-0.05391433839362191
428.23,0.7682975206611571,-0.0034745614664438706,0.7625,-0.1775,85.07658549922762,8.80716888746242e-09,-18.547699800803898,0.011754115355382695,9.384651771622866e-05,-0.053915041257927725
V15.81,0.5254237288135593,0.012380250552689653,0.5416666666666666,-0.28833333333333333,139.713050468058,8.546463090730528e-09,-18.577748313183037,0.0071575274940305295,9.244708265126882e-05,-0.05382783656781407
E879.8,0.5557860765329645,0.008396719853472345,0.56875,-0.26125,131.8771152277508,8.5140795172848e-09,-18.58154462999224,0.007582816762961545,9.227176988269381e-05,-0.05381683923014195
276.0,0.614075286415712,0.00331368475780347,0.625,-0.22999999999999998,119.12719480118079,8.419544957564596e-09,-18.592710053197138,0.008394388885501465,9.175807843217182e-05,-0.05378452076856023
433.10,0.6208417251198,0.015901361877728948,0.6208333333333333,-0.1991666666666666,113.86912230978433,8.515882686426198e-09,-18.581332865676316,0.008782012012698844,9.228154033405704e-05,-0.0538174525599944
577.0,0.528386444686004,0.003379498312011231,0.5458333333333333,-0.2716666666666666,133.90900549403707,8.458267498229873e-09,-18.588121471743367,0.007467757648640962,9.19688398221369e-05,-0.0537977977774755
250.40,0.7188069949576226,-0.03760513511179653,0.725,-0.21999999999999997,94.56482877397086,8.82129226394452e-09,-18.546097462473558,0.010574756100814216,9.392173477925395e-05,-0.05391969938815508
428.33,0.7540983606557377,-0.00694451803419982,0.75,-0.18999999999999995,90.9876917513036,8.916391831885468e-09,-18.535374475339815,0.010990497514029668,9.442664789075945e-05,-0.053950892728411776
682.6,0.5672316384180791,0.0024799344258688016,0.575,-0.245,127.48963538639308,8.602589361296534e-09,-18.571202590482148,0.007843774883889343,9.275014480472003e-05,-0.05384680906515478
493.90,0.5250278086763069,0.0229143413414159,0.5125,-0.26250000000000007,124.75945258645933,8.78658702517135e-09,-18.5500394799244,0.008015424717473746,9.373679653781299e-05,-0.05390824106235678
287.4,0.5596483963258546,0.013803697289666128,0.575,-0.255,139.07123427975628,8.503084545031622e-09,-18.58283685162716,0.007190559609102165,9.221217134972814e-05,-0.05381309689066325
430,0.5903778068771521,0.042709361905802656,0.5791666666666667,-0.2858333333333333,138.99347240932747,8.470081020664016e-09,-18.58672576272442,0.0071945824697080725,9.203304309140286e-05,-0.053801837546099414
415.19,0.5245901639344263,0.020284054460985357,0.5291666666666667,-0.25583333333333336,131.01953841729505,8.450240624123555e-09,-18.58907091975513,0.007632449419986633,9.192519036762205e-05,-0.05379505002249853
482.41,0.5953930015825567,-3.823814268666403e-06,0.6041666666666666,-0.2958333333333334,134.09256859493362,8.365662908969904e-09,-18.599130257713337,0.0074575348244748495,9.146399788424899e-05,-0.05376595497444216
996.74,0.5371207353586208,0.004077162215389563,0.55,-0.30499999999999994,142.41767691913157,8.604341837975492e-09,-18.570998896207474,0.007021600279070876,9.275959162251358e-05,-0.05384739967887337
305.00,0.5996108949416342,0.01463065778748407,0.5708333333333333,-0.26416666666666666,132.52125329025563,8.426866848375687e-09,-18.591840800877243,0.007545959422899079,9.179796756124662e-05,-0.05378703543722339
E933.1,0.5366899898034527,0.0014481543342506065,0.5479166666666666,-0.30208333333333337,143.90072502302996,8.629131005877644e-09,-18.56812203148917,0.00694923531372034,9.289311603061684e-05,-0.053855742562663435
342.90,0.5183609493954322,-0.00811059414637727,0.5375,-0.3375,165.45521336829205,8.394130160209966e-09,-18.595733165816185,0.006043931645563008,9.161948570151421e-05,-0.05377577700664479
572.2,0.75,-0.02020165385173356,0.7541666666666667,-0.2008333333333333,94.48466656349825,8.436681616410138e-09,-18.590676779062598,0.010583727882745416,9.185141053032413e-05,-0.05379040321577917
