target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.79,0.8152173913043478,0.75,0.7812500000000001,0.86,0.8050847457627118,0.95,0.871559633027523
0.8666666666666667,0.8492063492063492,0.8916666666666667,0.8699186991869918,0.78,0.8333333333333334,0.7,0.7608695652173915,0.885,0.8290598290598291,0.97,0.8940092165898618
0.9125,0.896,0.9333333333333333,0.9142857142857143,0.815,0.8247422680412371,0.8,0.8121827411167513,0.885,0.8468468468468469,0.94,0.8909952606635071
0.8875,0.8974358974358975,0.875,0.8860759493670887,0.815,0.8539325842696629,0.76,0.8042328042328041,0.79,0.8085106382978723,0.76,0.7835051546391754
0.8916666666666667,0.9051724137931034,0.875,0.8898305084745763,0.805,0.8279569892473119,0.77,0.7979274611398963,0.885,0.8407079646017699,0.95,0.892018779342723
0.9125,0.9024390243902439,0.925,0.9135802469135802,0.83,0.8586956521739131,0.79,0.8229166666666666,0.89,0.8482142857142857,0.95,0.8962264150943395
0.9166666666666666,0.8623188405797102,0.9916666666666667,0.9224806201550387,0.815,0.8315789473684211,0.79,0.8102564102564104,0.865,0.8067226890756303,0.96,0.8767123287671232
0.8958333333333334,0.905982905982906,0.8833333333333333,0.8945147679324895,0.815,0.8705882352941177,0.74,0.7999999999999999,0.885,0.8468468468468469,0.94,0.8909952606635071
0.925,0.8695652173913043,1.0,0.9302325581395349,0.79,0.8152173913043478,0.75,0.7812500000000001,0.875,0.8440366972477065,0.92,0.8803827751196172
0.8791666666666667,0.8888888888888888,0.8666666666666667,0.8776371308016878,0.855,0.8817204301075269,0.82,0.849740932642487,0.8,0.8333333333333334,0.75,0.7894736842105262
0.9125,0.9090909090909091,0.9166666666666666,0.9128630705394191,0.83,0.8666666666666667,0.78,0.8210526315789474,0.87,0.8245614035087719,0.94,0.8785046728971964
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.755,0.7865168539325843,0.7,0.7407407407407408,0.88,0.8518518518518519,0.92,0.8846153846153846
0.8708333333333333,0.8677685950413223,0.875,0.871369294605809,0.785,0.8202247191011236,0.73,0.7724867724867724,0.89,0.8482142857142857,0.95,0.8962264150943395
0.95,0.9090909090909091,1.0,0.9523809523809523,0.78,0.8181818181818182,0.72,0.7659574468085107,0.785,0.8131868131868132,0.74,0.774869109947644
