target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
328308.6058957839,437408.7553824975,1073893.726890964,1610854.2893245895,832942.4216650948,1414786.5688997312
362821.6325253648,534652.7674708973,771593.748911904,1027416.252706608,614946.4979823765,849745.642397316
406652.28808093525,545459.9160833658,1187919.7001868642,1561341.899943579,668133.6134848575,1117244.8805700366
290954.2772501042,400708.9130421523,1196444.46792145,1658849.5185345507,744498.6829663184,1225640.4349519727
409301.90739440435,648181.2535388531,861021.6514574758,1552789.9024270556,734315.2619673675,1469183.2372672681
276528.18799064413,422242.12860178127,883475.235326579,1142482.443847207,586848.2379138775,858854.7117052239
344122.86905266007,435799.3212502239,817477.8893709328,1434958.790791526,661958.647596904,1192796.6608161237
278294.3363779505,382388.88617354713,755014.3642645335,1082334.3795536503,613301.8178074473,956768.9404540801
343451.99103762757,468900.2113821852,1054870.0666117487,1423332.756838081,671536.9847852156,1126920.614657722
332113.61349404923,486968.5592859967,877881.9127491214,1161921.6816453063,628695.8213283893,878507.7258854203
325416.36826350284,458308.0455748247,1060290.766443695,1523324.1223230779,822652.5537119262,1254798.3187250763
286171.09740722686,425240.6626819842,1084258.5768378857,1533413.0353998037,805148.2301009903,1423172.355433394
316390.0894767519,420989.15703210223,758157.0965689123,1294304.1765218214,688072.5218135271,1246564.6701539874
306155.5229967645,413858.4704855073,933364.1505382538,1616746.4261987037,844878.0672684342,1590619.9482316382
364639.16020187014,503158.96359434,1165317.6529092472,1578338.220517018,796366.5209402251,1217737.4487543665
412365.107976347,622236.9111938193,1156944.472153168,1485849.9841415144,658949.2379583071,1175333.9731828086
354327.73478615656,496356.48977498274,998032.7872233087,1478729.8344955558,719987.7709541662,1312662.7645863756
314431.0805364461,404986.1987202522,706271.3140872702,983240.7068985311,588063.4755624733,910770.8764766414
388099.30152838194,545077.1071480892,711425.6857300788,992596.3328953667,604202.8726023743,935331.3108184293
322787.4354593009,451371.6299642437,661327.583084318,1125830.8956484108,658654.8606778822,1109479.8925199476
423060.48152271647,616082.5839678034,983675.5543968227,1272060.083798833,704580.2141001965,953944.6010980916
352136.826934144,538497.5581614389,826881.9741574884,1213840.6468673493,799624.1982392233,1180058.3226802694
304260.19660557347,420076.98066592833,917180.8078068494,1181065.7162482003,699629.2425556098,1054997.802495497
311243.36660917045,427448.7559674977,895969.6876639584,1271669.4087257285,756662.6420944892,1157707.954684506
447949.87147905654,664515.6567822214,1227520.9571842947,1765786.0227065305,959521.6100854597,1576233.5036808199
481119.7015187525,701718.5073791551,1308500.1025689887,1932793.4878229566,903948.052429035,1520597.6042117989
375876.67347243003,535416.7935188911,934231.110850845,1331249.2888564947,825561.9202898003,1310138.4103960183
273461.58348285797,362135.99275168945,951522.4355198581,1816925.903602135,812372.1524643105,1820951.5790068503
326443.6213670511,494480.7257531224,965208.094223546,1250321.8180274363,668263.2097074758,1148782.3051638736
336755.05590479326,437705.9155173834,670069.2062531014,909092.0886209676,616499.734602576,893237.4493278768
382805.27914679196,516810.1220572206,770428.1880420224,1122650.792629398,657404.547785339,988657.8554679839
341831.7107560536,556966.8675589811,1050163.3777656225,1455503.0316661454,672139.6091720029,1189456.483228962
263465.7075457918,378712.2130549303,846079.6383667386,1335781.9819011511,729679.5589886993,1210404.7496542493
450825.8601899936,676611.5018927914,974980.1607298474,1354628.2574946303,668110.2886027418,956956.1083627546
249905.48429702353,357966.387700619,777764.132152611,1169003.2468329184,630630.8986582948,1034255.72792462
238534.38200904249,326304.21789703565,697707.9574018174,1327920.8564806525,591356.8681170092,1247309.4880197837
397018.2927448008,584004.155066776,752129.231086092,1075509.0358398017,669832.7753260449,1059264.9323113952
366441.8835443497,577726.3017828676,804086.405578298,1050511.1522191456,578218.6657837295,788420.0270549777
335727.83359342697,522249.5943520185,1057670.6623934344,1544524.0714574233,777479.8180055247,1266479.4316643653
374768.526111981,616109.1362938891,885171.1509185497,1247655.4013885432,711341.5355681054,1217678.025383761
397502.8431504432,576612.6613795975,1231011.241107068,1584996.4921125763,982051.070083964,1417677.0764425974
313573.8693855297,442786.63836244476,669237.7238898744,917290.3528726128,552635.9450726983,905182.7089240708
291066.80950467114,402539.69082017324,958252.5796360949,1455318.6934533315,777525.0551320957,1341129.334545873
328921.7543654331,451203.53465245734,824074.9161788485,1541239.838776657,687169.5228610266,1375838.398543186
322060.54469697585,425158.9113257974,1248266.8246436198,1795803.3624001143,903040.2848484134,1490525.5212412502
401911.01002834056,606820.4439210825,760023.2083355578,940421.7655358014,626089.5422631851,843254.2145969159
359810.48354107636,600446.3075535651,828330.9219401786,1168625.3696893519,740962.8902564783,1030929.1603522021
298830.3066275925,425568.3805428749,1075645.7310811619,1562322.2266252534,706490.2542500147,1404711.6765015156
433424.67791517597,579728.3392993681,954376.8549335492,1333982.588789177,744197.7270768493,1221592.5082883742
279212.90455697494,391365.7976860457,976337.6463314928,1260062.604560628,623872.9360522747,928634.6271798731
392101.5252372589,557508.7003665926,1020612.5680844894,1391672.8852487144,777190.3249864099,1189016.458754432
350839.1101982863,524667.6618441868,746648.0404138772,964844.3431756245,555513.0849371601,803534.8698587688
