target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
619981.164878108,1151908.0069173162,887608.1745107477,1521750.6518483094,861836.355019251,1496684.0457949636
712255.3182028692,1153787.7263985188,720767.4155280644,1396733.3172838518,719988.8429224725,1378547.0030982597
585654.6334203772,898312.2056043397,779025.5653261436,1572497.7820285906,692759.0107056475,1507731.6444791807
631674.975851612,957596.3645379274,572962.1738288881,837281.2682149207,658439.7100550834,958552.7572962826
540818.3259301421,882439.4315467472,662803.4035054757,1124704.3746350575,629919.9991251276,1132499.8934656617
524952.2450439167,808293.300112868,672266.5798393768,844681.940522782,563338.3257389492,813356.628939697
869102.5091078586,1548825.02381945,804308.0304237115,1136503.0324222567,756582.6239344445,1095145.391003528
485635.11606154294,910769.9491153348,863286.7321508954,1567404.675525103,619314.3689172856,1380025.0912544448
568551.1173348523,945052.7801775961,541386.0178076341,746773.2215943008,489547.02631982433,733071.971165209
514327.534115376,768417.0320526352,794714.8238012479,1371969.1775167445,734816.2543055596,1344835.1695787718
477821.1051427391,695002.2686444113,628999.2177195459,800428.2419764792,608792.5640556432,784480.7151443566
496250.4798415845,770236.693241064,974112.9677048732,1364747.1835378609,642025.623387637,987661.0409950492
492596.28323252837,854515.6866513118,831114.3464619399,1485059.6413270417,732090.0392002125,1357949.8424029704
546266.8131835847,766749.9672423259,513895.17904289725,698883.1443638917,540350.397310199,759631.3679281648
579719.8021703594,901727.7812217674,923309.1293298189,1263566.8673674557,783231.484619008,1225770.850198819
670926.0565584692,1119569.000256728,628733.1205233245,913900.195427848,640650.9949872909,896307.4193903867
545376.6197828806,762723.116110063,891846.964899171,1345128.242811343,747040.2301257657,1247250.8145197579
634134.4065695029,929072.4254710887,775599.3251740244,1082709.584659237,760509.6379003044,1078415.0986941562
441941.33445873845,666738.259334327,568664.488819982,775049.2164103301,526062.9582788373,760998.4359486277
382683.5708843984,524272.3738028938,650753.0583230717,1034918.4001385017,580823.9969662788,971581.1997380445
557094.7235975085,800006.2099370185,804477.5241508347,1465231.0436710923,764693.0031328684,1435834.7561749157
846380.3720511927,1529649.1294782523,773863.1769259438,986129.2664623793,746519.8805520893,898783.3528820882
717563.0025082732,1067859.4577199016,918954.425836568,1282465.3284015032,800933.7068901709,1166770.1594281364
518757.8746157509,798906.2289493313,701006.9311368455,1049806.936670407,650298.220334502,1096700.2080181453
531333.3249631805,805839.6008212001,708726.6386495982,978966.0127591194,646413.762088656,911999.2052364112
582368.6146040246,852419.2410886249,776320.6360793025,1423848.0310146452,768386.770877124,1426420.3330210294
456409.88565525267,713707.3913326113,547511.3137967703,993681.9339700079,576965.1997428248,964959.8442869127
502917.1852039768,918062.8141605612,643546.1423523226,1523329.2105014154,665247.8505786358,1507228.5617946964
555789.0432132145,892325.3377960321,600939.6258284558,997066.1356007139,522682.9069283484,968003.0030869048
521430.4093119639,826569.2157643588,735119.4666961484,968254.3484918678,635781.7310650819,898806.4654637161
770106.6111655362,1389154.053596298,712327.5423819978,974235.5298686177,639631.2309491563,937805.1930254545
374398.2551282963,518237.34520165675,637348.591098817,1034213.1977022309,607930.0211049381,1021051.6034689605
491452.1074599606,791092.114405313,601404.1949857778,1003207.9361367354,603656.2188893928,961742.7340040823
477202.01029190887,719662.1150015489,719942.409096837,1448374.3926861861,681227.0942082315,1449131.7000258015
500669.30967529427,826661.4957234451,605765.6700344224,990654.5754788175,553176.546799582,947111.0137694797
705851.88781749,1029795.275003352,745524.0949546986,918143.4919417058,674950.1429395376,879145.1257860295
398901.93164658896,561809.3201189553,557382.7373792204,998763.9751104072,586692.9894577245,1008913.6035244083
717327.7072825626,1061279.5110318393,888222.5463043514,1175818.0065888558,649256.2649735921,983000.5339127253
