target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.9,0.8934426229508197,0.9083333333333333,0.9008264462809917,0.36,0.38524590163934425,0.47,0.42342342342342343,0.46,0.46,0.46,0.46,14.758663821054334
0.875,0.8629032258064516,0.8916666666666667,0.8770491803278689,0.52,0.5178571428571429,0.58,0.5471698113207547,0.53,0.5283018867924528,0.56,0.5436893203883495,13.833876359485652
0.8916666666666667,0.8671875,0.925,0.8951612903225807,0.42,0.4,0.32,0.35555555555555557,0.415,0.40860215053763443,0.38,0.39378238341968913,16.744651211458212
0.8791666666666667,0.9026548672566371,0.85,0.8755364806866952,0.415,0.4174757281553398,0.43,0.4236453201970444,0.495,0.49473684210526314,0.47,0.482051282051282,14.518754431495479
0.8541666666666666,0.8244274809160306,0.9,0.8605577689243029,0.615,0.6055045871559633,0.66,0.6315789473684211,0.555,0.5495495495495496,0.61,0.5781990521327014,16.837141880036643
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.585,0.5955056179775281,0.53,0.5608465608465608,0.595,0.6021505376344086,0.56,0.5803108808290157,17.65637243172165
0.9041666666666667,0.8818897637795275,0.9333333333333333,0.9068825910931174,0.415,0.4260869565217391,0.49,0.45581395348837206,0.475,0.4752475247524752,0.48,0.47761194029850745,13.49192430242154
0.8833333333333333,0.8650793650793651,0.9083333333333333,0.8861788617886179,0.67,0.6634615384615384,0.69,0.6764705882352942,0.655,0.6534653465346535,0.66,0.6567164179104478,11.747096889674538
0.8333333333333334,0.8508771929824561,0.8083333333333333,0.829059829059829,0.645,0.6435643564356436,0.65,0.6467661691542289,0.685,0.6947368421052632,0.66,0.676923076923077,14.621209823971746
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.43,0.42391304347826086,0.39,0.40625,0.425,0.422680412371134,0.41,0.416243654822335,14.073705372704012
0.8583333333333333,0.8467741935483871,0.875,0.8606557377049181,0.605,0.5882352941176471,0.7,0.6392694063926941,0.555,0.5514018691588785,0.59,0.5700483091787439,15.36850184396994
0.8625,0.8372093023255814,0.9,0.8674698795180723,0.44,0.4423076923076923,0.46,0.4509803921568628,0.515,0.514018691588785,0.55,0.5314009661835749,12.950305052295773
0.8833333333333333,0.8898305084745762,0.875,0.8823529411764707,0.46,0.45348837209302323,0.39,0.4193548387096774,0.475,0.47368421052631576,0.45,0.46153846153846156,13.674105218677447
0.9208333333333333,0.904,0.9416666666666667,0.9224489795918367,0.555,0.5486725663716814,0.62,0.5821596244131455,0.565,0.5607476635514018,0.6,0.5797101449275363,11.2370373511491
0.875,0.8879310344827587,0.8583333333333333,0.8728813559322035,0.53,0.5306122448979592,0.52,0.5252525252525252,0.475,0.47474747474747475,0.47,0.4723618090452262,15.759684284257538
0.8791666666666667,0.864,0.9,0.8816326530612244,0.545,0.5494505494505495,0.5,0.5235602094240838,0.465,0.46236559139784944,0.43,0.44559585492227977,12.988376959799476
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.365,0.3548387096774194,0.33,0.3419689119170985,0.39,0.3942307692307692,0.41,0.4019607843137255,12.882357290884409
0.9,0.8934426229508197,0.9083333333333333,0.9008264462809917,0.475,0.4782608695652174,0.55,0.5116279069767442,0.53,0.5288461538461539,0.55,0.5392156862745098,14.43460521509694
0.9083333333333333,0.9152542372881356,0.9,0.9075630252100839,0.725,0.7528089887640449,0.67,0.708994708994709,0.635,0.6336633663366337,0.64,0.6368159203980099,11.490570668962805
0.8833333333333333,0.8709677419354839,0.9,0.8852459016393444,0.425,0.41379310344827586,0.36,0.38502673796791437,0.405,0.40404040404040403,0.4,0.4020100502512563,15.191441837663401
0.9125,0.9024390243902439,0.925,0.9135802469135802,0.64,0.6228070175438597,0.71,0.663551401869159,0.705,0.711340206185567,0.69,0.700507614213198,14.757566236208582
0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.63,0.6226415094339622,0.66,0.6407766990291262,0.65,0.6530612244897959,0.64,0.6464646464646464,16.315184370724168
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.66,0.6666666666666666,0.64,0.6530612244897959,0.645,0.6629213483146067,0.59,0.6243386243386243,14.733287482050727
0.8666666666666667,0.8492063492063492,0.8916666666666667,0.8699186991869918,0.43,0.4375,0.49,0.4622641509433962,0.465,0.46601941747572817,0.48,0.4729064039408867,13.129551776905007
0.8458333333333333,0.832,0.8666666666666667,0.8489795918367347,0.375,0.3563218390804598,0.31,0.3315508021390374,0.41,0.41,0.41,0.41,11.231194335952926
0.8791666666666667,0.864,0.9,0.8816326530612244,0.71,0.7058823529411765,0.72,0.712871287128713,0.705,0.7157894736842105,0.68,0.6974358974358974,14.647231681294288
0.8541666666666666,0.8761061946902655,0.825,0.849785407725322,0.45,0.4489795918367347,0.44,0.4444444444444445,0.44,0.4375,0.42,0.4285714285714286,15.730496286215274
0.875,0.8813559322033898,0.8666666666666667,0.8739495798319329,0.65,0.6704545454545454,0.59,0.6276595744680851,0.64,0.648936170212766,0.61,0.6288659793814433,14.760939587016281
0.8458333333333333,0.8547008547008547,0.8333333333333334,0.8438818565400844,0.695,0.696969696969697,0.69,0.6934673366834171,0.64,0.6590909090909091,0.58,0.6170212765957446,14.648335709523788
