target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.75,0.7419354838709677,0.7666666666666667,0.7540983606557377,0.635,0.6451612903225806,0.6,0.6217616580310881,0.65,0.6442307692307693,0.67,0.6568627450980393
0.8083333333333333,0.8189655172413793,0.7916666666666666,0.8050847457627119,0.665,0.6774193548387096,0.63,0.6528497409326425,0.61,0.6078431372549019,0.62,0.6138613861386139
0.775,0.7844827586206896,0.7583333333333333,0.7711864406779662,0.615,0.6210526315789474,0.59,0.6051282051282052,0.625,0.6237623762376238,0.63,0.6268656716417911
0.7875,0.8108108108108109,0.75,0.7792207792207791,0.505,0.5051546391752577,0.49,0.4974619289340101,0.57,0.5714285714285714,0.56,0.5656565656565656
0.7875,0.8053097345132744,0.7583333333333333,0.7811158798283261,0.565,0.5783132530120482,0.48,0.5245901639344261,0.585,0.5894736842105263,0.56,0.5743589743589743
0.7916666666666666,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.495,0.49411764705882355,0.42,0.4540540540540541,0.54,0.54,0.54,0.54
0.7708333333333334,0.768595041322314,0.775,0.7717842323651453,0.62,0.6428571428571429,0.54,0.5869565217391305,0.57,0.574468085106383,0.54,0.5567010309278351
0.8083333333333333,0.8363636363636363,0.7666666666666667,0.8,0.62,0.6176470588235294,0.63,0.6237623762376239,0.665,0.6633663366336634,0.67,0.6666666666666667
0.7791666666666667,0.7768595041322314,0.7833333333333333,0.7800829875518671,0.555,0.5555555555555556,0.55,0.5527638190954774,0.595,0.594059405940594,0.6,0.5970149253731343
0.8208333333333333,0.8181818181818182,0.825,0.8215767634854773,0.515,0.5180722891566265,0.43,0.46994535519125685,0.55,0.5520833333333334,0.53,0.5408163265306124
0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.61,0.625,0.55,0.5851063829787234,0.61,0.6145833333333334,0.59,0.6020408163265306
0.7833333333333333,0.7931034482758621,0.7666666666666667,0.7796610169491527,0.66,0.6818181818181818,0.6,0.6382978723404256,0.655,0.6597938144329897,0.64,0.6497461928934011
0.8166666666666667,0.8275862068965517,0.8,0.8135593220338982,0.63,0.6444444444444445,0.58,0.6105263157894737,0.625,0.631578947368421,0.6,0.6153846153846154
0.7958333333333333,0.8141592920353983,0.7666666666666667,0.7896995708154507,0.6,0.6162790697674418,0.53,0.5698924731182796,0.645,0.6435643564356436,0.65,0.6467661691542289
0.7416666666666667,0.7338709677419355,0.7583333333333333,0.7459016393442623,0.565,0.5802469135802469,0.47,0.5193370165745855,0.665,0.6571428571428571,0.69,0.6731707317073171
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6,0.6063829787234043,0.57,0.5876288659793814,0.57,0.5729166666666666,0.55,0.5612244897959183
0.7958333333333333,0.8256880733944955,0.75,0.7860262008733625,0.55,0.5531914893617021,0.52,0.536082474226804,0.64,0.6458333333333334,0.62,0.6326530612244898
0.7958333333333333,0.808695652173913,0.775,0.7914893617021276,0.605,0.6060606060606061,0.6,0.6030150753768845,0.585,0.580952380952381,0.61,0.5951219512195122
0.7791666666666667,0.768,0.8,0.7836734693877552,0.56,0.5638297872340425,0.53,0.5463917525773196,0.56,0.5625,0.54,0.5510204081632654
0.7791666666666667,0.7913043478260869,0.7583333333333333,0.7744680851063831,0.57,0.5729166666666666,0.55,0.5612244897959183,0.56,0.5612244897959183,0.55,0.5555555555555555
0.7708333333333334,0.7876106194690266,0.7416666666666667,0.7639484978540773,0.455,0.45714285714285713,0.48,0.4682926829268293,0.485,0.4857142857142857,0.51,0.4975609756097561
0.8041666666666667,0.811965811965812,0.7916666666666666,0.8016877637130801,0.58,0.5975609756097561,0.49,0.5384615384615385,0.615,0.6236559139784946,0.58,0.6010362694300518
0.7833333333333333,0.7931034482758621,0.7666666666666667,0.7796610169491527,0.58,0.5851063829787234,0.55,0.5670103092783506,0.58,0.5816326530612245,0.57,0.5757575757575758
0.8083333333333333,0.8032786885245902,0.8166666666666667,0.8099173553719008,0.64,0.6458333333333334,0.62,0.6326530612244898,0.665,0.6701030927835051,0.65,0.6598984771573604
0.8083333333333333,0.8245614035087719,0.7833333333333333,0.8034188034188033,0.625,0.6344086021505376,0.59,0.6113989637305699,0.58,0.5888888888888889,0.53,0.5578947368421053
0.7791666666666667,0.7913043478260869,0.7583333333333333,0.7744680851063831,0.55,0.5609756097560976,0.46,0.5054945054945056,0.555,0.5567010309278351,0.54,0.5482233502538071
0.7791666666666667,0.8018018018018018,0.7416666666666667,0.7705627705627706,0.625,0.6506024096385542,0.54,0.5901639344262295,0.615,0.6236559139784946,0.58,0.6010362694300518
0.7541666666666667,0.7606837606837606,0.7416666666666667,0.751054852320675,0.605,0.6206896551724138,0.54,0.5775401069518717,0.56,0.5612244897959183,0.55,0.5555555555555555
0.7583333333333333,0.7672413793103449,0.7416666666666667,0.7542372881355933,0.585,0.5913978494623656,0.55,0.5699481865284974,0.625,0.6288659793814433,0.61,0.6192893401015229
0.7541666666666667,0.7699115044247787,0.725,0.7467811158798284,0.635,0.6551724137931034,0.57,0.6096256684491977,0.66,0.6568627450980392,0.67,0.6633663366336634
