source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.83,0.8666666666666667,0.78,0.8210526315789474,0.6416666666666667,0.6666666666666666,0.5666666666666667,0.6126126126126126,0.5916666666666667,0.6078431372549019,0.5166666666666667,0.5585585585585585,117.34564824903231,8.825200050078102e-09
0.865,0.8762886597938144,0.85,0.8629441624365483,0.5791666666666667,0.5785123966942148,0.5833333333333334,0.5809128630705395,0.5708333333333333,0.5739130434782609,0.55,0.5617021276595745,144.06290826645989,8.589085824217333e-09
0.845,0.8709677419354839,0.81,0.8393782383419689,0.6083333333333333,0.6048387096774194,0.625,0.6147540983606558,0.6041666666666666,0.6146788990825688,0.5583333333333333,0.5851528384279476,128.36552945968606,7.45445880914348e-09
0.865,0.9101123595505618,0.81,0.8571428571428572,0.6208333333333333,0.6239316239316239,0.6083333333333333,0.6160337552742615,0.6041666666666666,0.6146788990825688,0.5583333333333333,0.5851528384279476,126.78583049587913,8.293124790957919e-09
0.91,0.9270833333333334,0.89,0.9081632653061226,0.5458333333333333,0.5486725663716814,0.5166666666666667,0.5321888412017167,0.5375,0.5384615384615384,0.525,0.5316455696202531,165.84779504246785,9.666607949203757e-09
0.9,0.9347826086956522,0.86,0.8958333333333334,0.5833333333333334,0.5925925925925926,0.5333333333333333,0.5614035087719299,0.6625,0.672566371681416,0.6333333333333333,0.6523605150214592,136.083201264881,8.820426817699605e-09
0.88,0.8877551020408163,0.87,0.8787878787878789,0.6791666666666667,0.6936936936936937,0.6416666666666667,0.6666666666666667,0.725,0.7327586206896551,0.7083333333333334,0.7203389830508475,94.55406493583578,8.641455953837556e-09
0.87,0.9021739130434783,0.83,0.8645833333333334,0.65,0.652542372881356,0.6416666666666667,0.6470588235294119,0.6041666666666666,0.6106194690265486,0.575,0.5922746781115878,115.23501919175436,9.53165510255357e-09
0.88,0.9222222222222223,0.83,0.8736842105263158,0.6833333333333333,0.680327868852459,0.6916666666666667,0.6859504132231404,0.65,0.6578947368421053,0.625,0.6410256410256411,115.52490373150303,8.120466914517131e-09
0.905,0.945054945054945,0.86,0.9005235602094239,0.625,0.6271186440677966,0.6166666666666667,0.6218487394957983,0.6583333333333333,0.6727272727272727,0.6166666666666667,0.6434782608695652,130.40010027294346,8.383170784769234e-09
0.88,0.8958333333333334,0.86,0.8775510204081632,0.6,0.6071428571428571,0.5666666666666667,0.5862068965517241,0.6291666666666667,0.6422018348623854,0.5833333333333334,0.6113537117903931,131.3266795122433,7.702870879332991e-09
0.85,0.8888888888888888,0.8,0.8421052631578948,0.6958333333333333,0.7117117117117117,0.6583333333333333,0.6839826839826839,0.6291666666666667,0.6448598130841121,0.575,0.6079295154185022,104.95900094277694,8.371826068458016e-09
0.89,0.9333333333333333,0.84,0.8842105263157894,0.7125,0.7383177570093458,0.6583333333333333,0.6960352422907489,0.6458333333333334,0.6605504587155964,0.6,0.62882096069869,107.15377357288119,7.919084955855939e-09
0.86,0.8673469387755102,0.85,0.8585858585858585,0.6666666666666666,0.6923076923076923,0.6,0.6428571428571429,0.6583333333333333,0.6666666666666666,0.6333333333333333,0.6495726495726496,107.36554115163098,7.576072409835906e-09
0.83,0.8367346938775511,0.82,0.8282828282828283,0.6791666666666667,0.6902654867256637,0.65,0.6695278969957081,0.6333333333333333,0.6403508771929824,0.6083333333333333,0.6239316239316238,95.68281680683654,9.996501973078616e-09
0.865,0.8924731182795699,0.83,0.8601036269430051,0.5958333333333333,0.592,0.6166666666666667,0.6040816326530611,0.5916666666666667,0.5964912280701754,0.5666666666666667,0.5811965811965812,126.94873760751912,8.690145588829732e-09
0.895,0.898989898989899,0.89,0.8944723618090452,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6625,0.672566371681416,0.6333333333333333,0.6523605150214592,95.5050200294811,9.279103826184587e-09
0.79,0.8085106382978723,0.76,0.7835051546391754,0.6625,0.6756756756756757,0.625,0.6493506493506493,0.65,0.6607142857142857,0.6166666666666667,0.6379310344827587,118.57870388782877,7.634598700314183e-09
0.855,0.865979381443299,0.84,0.8527918781725888,0.5666666666666667,0.5740740740740741,0.5166666666666667,0.543859649122807,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,140.12342856022033,8.84757247503796e-09
0.865,0.8842105263157894,0.84,0.8615384615384616,0.6958333333333333,0.6942148760330579,0.7,0.6970954356846473,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,108.80682795139421,7.3738178984986195e-09
0.87,0.8936170212765957,0.84,0.8659793814432989,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6708333333333333,0.6846846846846847,0.6333333333333333,0.6580086580086579,77.83070542753019,8.791992665094625e-09
0.87,0.8775510204081632,0.86,0.8686868686868686,0.6625,0.672566371681416,0.6333333333333333,0.6523605150214592,0.6458333333333334,0.6521739130434783,0.625,0.6382978723404256,116.55881804440065,7.926151635621424e-09
0.84,0.8541666666666666,0.82,0.836734693877551,0.6083333333333333,0.6160714285714286,0.575,0.5948275862068966,0.6125,0.6173913043478261,0.5916666666666667,0.604255319148936,132.777462839682,9.355808185990783e-09
0.86,0.8673469387755102,0.85,0.8585858585858585,0.6666666666666666,0.6851851851851852,0.6166666666666667,0.6491228070175439,0.6583333333333333,0.6826923076923077,0.5916666666666667,0.6339285714285715,132.23891597681316,9.909710844475738e-09
0.895,0.9072164948453608,0.88,0.8934010152284264,0.5791666666666667,0.584070796460177,0.55,0.5665236051502146,0.5666666666666667,0.5714285714285714,0.5333333333333333,0.5517241379310344,152.0771664299287,7.464662343783888e-09
0.895,0.9340659340659341,0.85,0.8900523560209425,0.7166666666666667,0.7203389830508474,0.7083333333333334,0.7142857142857142,0.6333333333333333,0.6428571428571429,0.6,0.6206896551724138,99.21459242927088,8.719693520669686e-09
0.815,0.8461538461538461,0.77,0.8062827225130889,0.6416666666666667,0.6545454545454545,0.6,0.6260869565217392,0.6416666666666667,0.646551724137931,0.625,0.635593220338983,118.7682189264549,9.184660708630098e-09
0.87,0.8627450980392157,0.88,0.8712871287128714,0.6166666666666667,0.6296296296296297,0.5666666666666667,0.5964912280701755,0.6125,0.6097560975609756,0.625,0.6172839506172839,130.51279263821993,8.509153468680485e-09
0.88,0.9042553191489362,0.85,0.8762886597938143,0.6666666666666666,0.6754385964912281,0.6416666666666667,0.6581196581196581,0.6875,0.6923076923076923,0.675,0.6835443037974683,110.0499858859468,8.026741647050687e-09
